Solução ótima! Status final = 2	MIPgap = -6.27744e+066
Funcao objetivo :	3.6126821086e+005	DEF (MW): 0.0000000000e+000	VFol (hm3): 0.0000000000e+000	CIO : 7.5870488061e+004	CFO : 2.8539772280e+005
CTL :3.4657196086e+005	CTQ :3.4688620780e+005
Tempo de resolucao (s):	0.0000e+000	Criar modelo (s):0.0000e+000
flags =	2	1	0	10	1	1	1

Estágio 1 
Periodo   	             1	             2
pt1       	  0.000000e+000	  0.000000e+000
pt2       	  0.000000e+000	  0.000000e+000
pt3       	  0.000000e+000	  0.000000e+000
pt4       	  0.000000e+000	  0.000000e+000
pt5       	  0.000000e+000	  0.000000e+000
pt6       	  0.000000e+000	  0.000000e+000
pt7       	  0.000000e+000	  0.000000e+000
pt8       	  0.000000e+000	  0.000000e+000
pt9       	  0.000000e+000	  0.000000e+000
pt10      	  0.000000e+000	  0.000000e+000
pt11      	  0.000000e+000	  0.000000e+000
pt12      	  0.000000e+000	  0.000000e+000
pt13      	  0.000000e+000	  0.000000e+000
pt14      	  0.000000e+000	  0.000000e+000
u1        	  1.000000e+000	  1.000000e+000
u2        	  1.000000e+000	  1.000000e+000
u3        	  0.000000e+000	  0.000000e+000
u4        	  1.000000e+000	  1.000000e+000
u5        	  0.000000e+000	  1.000000e+000
u6        	  0.000000e+000	  0.000000e+000
u7        	  1.000000e+000	  1.000000e+000
u8        	  0.000000e+000	  0.000000e+000
u9        	  0.000000e+000	  0.000000e+000
u10       	  0.000000e+000	  0.000000e+000
u11       	  0.000000e+000	  0.000000e+000
u12       	  0.000000e+000	  0.000000e+000
u13       	  0.000000e+000	  0.000000e+000
u14       	  1.000000e+000	  1.000000e+000
up1       	  1.000000e+000	  0.000000e+000
up2       	  0.000000e+000	  0.000000e+000
up3       	  0.000000e+000	  0.000000e+000
up4       	  1.000000e+000	  0.000000e+000
up5       	  0.000000e+000	  1.000000e+000
up6       	  0.000000e+000	  0.000000e+000
up7       	  0.000000e+000	  0.000000e+000
up8       	  0.000000e+000	  0.000000e+000
up9       	  0.000000e+000	  0.000000e+000
up10      	  0.000000e+000	  0.000000e+000
up11      	  0.000000e+000	  0.000000e+000
up12      	  0.000000e+000	  0.000000e+000
up13      	  0.000000e+000	  0.000000e+000
up14      	  1.000000e+000	  0.000000e+000
ud1       	  0.000000e+000	  0.000000e+000
ud2       	  0.000000e+000	  0.000000e+000
ud3       	  0.000000e+000	  0.000000e+000
ud4       	  0.000000e+000	  0.000000e+000
ud5       	  0.000000e+000	  0.000000e+000
ud6       	  0.000000e+000	  0.000000e+000
ud7       	  0.000000e+000	  0.000000e+000
ud8       	  0.000000e+000	  0.000000e+000
ud9       	  0.000000e+000	  0.000000e+000
ud10      	  0.000000e+000	  0.000000e+000
ud11      	  1.000000e+000	  0.000000e+000
ud12      	  0.000000e+000	  0.000000e+000
ud13      	  0.000000e+000	  0.000000e+000
ud14      	  0.000000e+000	  0.000000e+000
F1        	  4.998125e+003	  4.998125e+003
F2        	  4.788014e+003	  4.788014e+003
F3        	  0.000000e+000	  0.000000e+000
F4        	  5.321228e+003	  5.321228e+003
F5        	  0.000000e+000	  4.975184e+003
F6        	  0.000000e+000	  0.000000e+000
F7        	  1.324138e+004	  1.324138e+004
F8        	  0.000000e+000	  0.000000e+000
